Leave No Trace (2018),100,81,181,PG (for thematic material throughout),Drama,Debra Granik,"Debra Granik, Anne Rosellini","Jun 29, 2018 limited","Sep 25, 2018",109 minutes,Bleecker Street,
The Adventures of Robin Hood (1938),100,89,189,PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller","May 14, 1938 wide","Sep 30, 2003",102 minutes,Warner Bros.,
A Hard Day's Night (1964),98,89,187,G,"Classics, Comedy, Musical & Performing Arts",Richard Lester,Alun Owen,"Aug 11, 1964 wide","Sep 24, 2002",87 minutes,Miramax,
The Maltese Falcon (1941),100,91,191,PG,"Drama, Mystery & Suspense",John Huston,John Huston,"Oct 18, 1941 wide","Feb 15, 2000",101 minutes,Warner Bros.,
Manchester by the Sea (2016),96,77,173,R (for language throughout and some sexual content.),Drama,Kenneth Lonergan,Kenneth Lonergan,"Dec 16, 2016 wide","Feb 21, 2017","$47,695,120",135 minutes,Roadside Attractions
Argo (2012),96,90,186,R (for language and some violent images),"Drama, Mystery & Suspense",Ben Affleck,Chris Terrio,"Oct 12, 2012 wide","Feb 19, 2013","$136,019,448",120 minutes,Warner Bros. Pictures
12 Years a Slave (2013),95,90,185,"R (for violence/cruelty, some nudity and brief sexuality)",Drama,Steve McQueen (III),John Ridley,"Oct 18, 2013 limited","Mar 4, 2014","$50,628,650",134 minutes,Fox Searchlight
The Battle of Algiers (La Battaglia di Algeri) (1967),99,95,194,NR,"Art House & International, Drama",Gillo Pontecorvo,"Gillo Pontecorvo, Franco Solinas","Sep 20, 1967 limited","Sep 21, 2004","$55,908",123 minutes,Rialto Pictures
Baby Driver (2017),93,86,179,R (for violence and language throughout.),"Action & Adventure, Drama",Edgar Wright,Edgar Wright,"Jun 28, 2017 wide","Oct 10, 2017","$107,770,367",113 minutes,Sony Pictures
Psycho (1960),96,95,191,"R (adult situations/language, violence)","Classics, Horror, Mystery & Suspense",Alfred Hitchcock,Joseph Stefano,"Jun 16, 1960 wide","Mar 6, 2001",109 minutes,Paramount Pictures,
